match_id,minute,player_first_name,player_last_name,is_yellow
0x425efdbbf0f848ea,17,Rúben,Dias,True
0x64339065965ff28f,49,Ibrahima,Konaté,True
0x64339065965ff28f,6,Trent,Alexander-Arnold,True
0x6433906595fcfc2f,45,Rúben,Dias,True
0x6433906595b67f3a,69,,Ederson,True
0x643390659566af81,90,Diogo,Jota,True
0x6433906595644296,34,Iñigo,Martínez,True
0x64339065950fe116,67,Alejandro,Balde,True
0x64339065950fe116,34,Iñigo,Martínez,True
0x64339065950fe116,56,Ronald,Araújo,True
0x6433906594e22295,17,Jules,Koundé,True
0x6433906593d60507,53,Jules,Koundé,True
0x6433906593d60507,90,Mohamed,Salah,True
0x64339065930c6cd2,45,Rúben,Dias,True
0x64339065930be118,9,Virgil,van Dijk,False
0x64339065915c2dc5,58,Jules,Koundé,True
0x6433906590d61d0e,90,Rúben,Dias,False
0xc0ca745aa383312,13,John,Stones,True
0xc0ca745aa383312,90,John,Stones,False
0xc0ca745a97df444,20,Virgil,van Dijk,False
0xc0ca745a97df444,45,John,Stones,True
0xc0ca745a97df444,24,Federico,Valverde,True
0xc0ca745a97c8035,77,Rúben,Dias,False
0xc0ca745a96fcb85,28,John,Stones,True
0xc0ca745a96fcb85,33,Jules,Koundé,True
0xc0ca745a8389477,68,John,Stones,True
0xc0ca745a8389477,34,Jules,Koundé,True
0xc0ca745a838106c,76,Virgil,van Dijk,True
0xc0ca745a83793de,80,John,Stones,True
0xc0ca745a7f61a37,87,Virgil,van Dijk,True
0xc0ca745a7f61a37,30,Jules,Koundé,True
0xc0ca745a7b70daf,17,John,Stones,False
0xc0ca745a7b693f0,21,John,Stones,True
0xc0ca745a693d813,67,Kyle,Walker,True
0xc0ca745a64dd7c8,21,Rúben,Dias,False
0xc0ca745a64dd7c8,73,Jules,Koundé,True
0xc0ca745a57b7dfa,79,Rúben,Dias,False
0xc0ca745a4f7186a,38,Andrew,Robertson,True
0xc0ca745a4f7186a,45,Jules,Koundé,True
0xc0ca745a4c323fa,4,Virgil,van Dijk,True
0xc0ca745a473faf9,86,Mohamed,Salah,False
0xc0ca745a46a806f,29,Rúben,Dias,True
0xc0ca745a45ab8d1,51,Virgil,van Dijk,True
0xc0ca745a3c9123c,62,John,Stones,False
0xc0ca745a3c9123c,59,Dominik,Szoboszlai,True
0xc0ca745a3b1eedc,49,Virgil,van Dijk,False
0xc0ca745a37a8ae0,88,Rúben,Dias,True
0xc0ca745a37a8ae0,14,Federico,Valverde,False
0xc0ca745a3612a13,62,Vinícius,Júnior,True
0xc0ca745a31e51da,64,Cristiano,Ronaldo,True
0xc0ca745a3001971,61,Jules,Koundé,True
