match_id,is_home,opponent,our_score,opponent_score,motm_first_name,motm_last_name,manager,event_id,match_time,minutes_played,result
0xa086f88ba2c750fc,False,Dream FC,2,2,Victor,Osimhen,VLADIOLA,0,1730147140,124,Beraberlik
0xa086f88ba2c6cecc,True,TRN SPORTS,0,1,Min-Jae,Kim,TARANA,0,1730146732,91,Mağlubiyet
0xa086f88ba2bfa58e,False,MAROUCCO,1,2,Vinícius,Júnior,MANAGER,0,1730141363,93,Mağlubiyet
0xa086f88ba2bf0c47,True,CREDERE SC,3,1,Vinícius,Júnior,BOSS REUBEN,0,1730140938,92,Galibiyet
0xa086f88ba2be1a6e,True,WARREN DINO CLUB,1,1,Domenico,Berardi,PEP GARDIOLAR,0,1730140271,120,Beraberlik
0xa086f88ba29e10e7,True,SARQAAWI,2,1,Jonathan,David,MUSCAB,0,1730118137,91,Galibiyet
0xa086f88ba235175a,True,Dream FC,2,1,John,Stones,RTE,0,1730019423,92,Galibiyet
0xa086f88ba20feec6,False,GALATASARAY,2,2,Vinícius,Júnior,HASAN MERT,0,1729976132,123,Beraberlik
0xa086f88ba20f53d7,False,Dream FC,3,3,John,Stones,ZINEDINE ZIDANE,0,1729975337,120,Beraberlik
0xa086f88ba20d0599,False,REAL PARIS,3,0,Vinícius,Júnior,TAMILANDA,0,1729972714,79,Galibiyet
0xa086f88ba1f06a4b,True,APOLONIA,1,2,Lautaro,Martínez,APOLONIA,0,1729951800,93,Mağlubiyet
0xa086f88ba1efeb1b,True,REAL GROTTOLELLA,2,5,Mohamed,Salah,ANTONIO MAGLIO,0,1729951435,78,Mağlubiyet
0xa086f88ba1e8193e,False,REAL MADRID,1,0,Antonio,Rüdiger,NAREK,0,1729945481,92,Galibiyet
0xa086f88ba1e6c3b2,True,HASAN GABAREWO,3,4,Pierre-Emerick,Aubameyang,MANAGERSS,0,1729944419,91,Mağlubiyet
0xa086f88ba1e5e45d,False,THE GOAT,1,0,Thibaut,Courtois,BLACKI,0,1729943695,92,Galibiyet
0xa086f88ba1e596f8,True,FREE OF PALESTEIN,4,1,Dominik,Szoboszlai,ALY,0,1729943440,48,Galibiyet
0xa086f88ba1bcc44b,True,MOROCCO,4,3,Cristiano,Ronaldo,WALID REGRAGUI,0,1729897125,92,Galibiyet
0xa086f88ba1bc6886,True,WAC,3,1,Vinícius,Júnior,RACHID,0,1729896737,92,Galibiyet
0xa086f88ba1b16e71,False,BRANDOLA,0,2,John,Stones,CASOLARI,0,1729886838,92,Mağlubiyet
0xa086f88ba1b0cc77,True,PABLO NOT ESCOBA,2,1,Kylian,Mbappé,IKEM,0,1729886350,92,Galibiyet
0xa086f88ba1b04318,False,BERKKAN,2,3,Cristiano,Ronaldo,BERKKAN,0,1729885942,92,Mağlubiyet
0xa086f88ba1aff553,False,ANTON,0,3,Vinícius,Júnior,TALENT,0,1729885713,54,Mağlubiyet
0xa086f88ba1af764d,False,ARSENAL,1,3,Cristiano,Ronaldo,TROSSAD,0,1729885339,93,Mağlubiyet
0xa086f88ba1aebc76,True,FC BARCELONA,1,1,Cristiano,Ronaldo,AMAR OSIM,1346,1729884798,31,Beraberlik
0xa086f88ba191197c,False,FC BAYERN,3,1,Lorenzo,Insigne,MAX,0,1729865440,90,Galibiyet
0xa086f88ba1813d30,True,MAROC FC,0,0,,Alisson,HAMZA KING,0,1729854160,16,Beraberlik
